,f0,f1,f2,f3,f4,f6,f5,f7,f8,f9,f10,f11,f12,label
65,540,101,119,4286,28,117,4119,2,0,0,0,1,0,1
66,3117,145,642,12697,86,344,9844,0,1,0,0,0,0,1
67,2491,282,753,14313,82,686,14271,2,2,0,0,0,0,1
68,2585,433,484,13586,47,761,11949,0,0,0,0,0,1,1
69,1414,287,121,8041,14,484,7581,6,3,0,0,0,0,1
70,613,145,117,4540,20,257,4033,10,7,0,3,5,0,7
71,1356,90,606,10760,72,291,12693,10,4,0,1,0,0,1
72,4234,298,418,19629,53,1157,15470,4,3,0,0,1,0,1
73,2239,336,389,11231,28,547,8247,3,3,1,0,1,2,1
74,1415,296,319,7816,39,400,7586,1,1,0,0,0,0,1
75,3422,879,761,15198,74,707,9353,2,2,0,0,0,0,1
76,2153,362,474,8620,152,603,19378,4,1,0,0,0,1,1
77,2397,186,230,9124,22,311,6564,1,1,0,0,0,0,1
78,1733,231,288,9481,28,429,8842,0,0,0,0,1,0,1
79,1513,103,155,11159,41,300,11806,1,0,0,0,0,1,1
80,2050,163,631,5840,65,246,5098,0,1,0,0,0,0,1
81,127,78,101,2425,6,118,1901,3,1,0,0,0,0,1
82,564,90,40,3338,4,52,1989,0,0,0,0,0,0,1
83,589,227,107,3793,9,66,2625,2,1,0,0,0,0,1
84,554,88,32,3357,1,45,2465,3,1,0,0,0,0,1
85,1002,106,125,6574,19,261,7258,9,10,0,0,2,0,1
86,2851,345,345,24699,40,695,20285,17,4,0,0,0,0,1
87,4485,472,504,22040,55,410,18721,1,1,0,0,3,3,1
88,119,3,19,447,3,35,397,3,3,0,0,0,0,1
89,3281,335,348,25091,35,599,22129,28,7,0,0,1,0,1
90,1967,56,264,11262,34,250,9462,3,5,0,0,0,0,1
91,4242,428,809,16868,125,707,16819,4,1,0,1,0,0,1
92,3010,851,790,21508,95,983,16155,1,1,0,1,0,0,1
93,2005,159,457,7794,43,544,6901,0,1,0,0,0,0,1
94,3449,468,726,17470,131,1776,18094,2,1,0,0,0,0,1
95,1839,144,1010,8200,73,396,8064,1,1,0,0,0,1,1
96,6055,307,542,27143,72,1719,24170,5,1,0,1,1,0,1
97,461,139,259,3150,21,95,2340,0,2,0,0,0,0,1
98,1604,161,410,9884,70,552,11768,2,1,0,0,0,0,1
99,115,28,90,6372,27,69,6092,23,8,0,3,4,0,1
100,1394,184,280,8020,35,274,9350,1,1,0,0,0,0,1
101,2970,405,252,11421,31,487,8031,7,2,0,0,1,0,1
102,640,55,57,3019,9,92,3126,2,1,0,1,0,0,9
103,3389,585,816,15228,64,480,17051,0,0,0,0,0,0,1
104,634,20,39,8117,15,260,6210,3,2,1,0,0,0,1
105,1128,266,301,6851,54,231,4714,2,2,0,1,0,0,1
106,4935,495,455,19027,51,968,19459,4,1,0,0,0,0,1
107,3550,468,417,29953,36,669,19564,0,1,0,0,1,0,1
108,4219,426,429,17576,45,871,16416,13,2,0,0,2,0,1
109,4340,1022,624,19300,94,790,12064,0,0,1,0,0,0,1
110,1529,420,422,14524,33,184,11678,6,5,0,0,1,0,1
111,974,217,445,6700,46,354,7498,7,3,0,0,0,0,1
112,2919,264,419,21239,26,1115,19531,0,0,0,0,0,1,1
113,945,40,268,5870,66,596,9679,0,1,0,0,0,0,1
114,1191,152,394,7661,81,409,9477,4,0,0,0,0,1,1
115,2820,747,571,9870,90,229,7473,1,1,0,0,1,1,1
116,509,13,51,2690,13,72,2726,3,1,0,1,0,0,1
117,3049,420,651,11400,42,750,12239,0,1,0,0,0,0,1
118,2745,482,963,18819,123,369,20274,5,4,0,0,1,0,1
119,1078,194,121,7078,4,135,6617,0,3,0,0,0,0,1
120,1757,297,413,10566,57,389,7852,2,0,1,0,1,0,1
121,3753,629,444,15108,78,878,13280,3,2,0,0,2,0,7
122,2026,179,768,9218,65,596,10581,4,9,0,4,1,0,1
123,496,21,39,3430,15,148,4113,3,3,1,1,0,1,1
124,1739,155,553,12220,43,673,9935,3,1,0,0,0,0,1
125,2440,349,366,17272,30,307,14623,15,1,0,0,0,0,1
126,1560,92,132,9087,20,240,9160,7,3,0,0,0,0,1
127,1991,170,301,8855,56,233,7754,2,2,0,0,0,0,1
128,1865,184,388,12285,45,419,11480,7,3,0,0,1,0,1
129,206,38,73,1420,2,41,1267,2,1,0,0,4,0,1
130,2180,350,694,15572,103,592,17536,6,1,0,0,0,0,1
131,1603,159,467,10987,65,425,10856,0,1,0,0,0,0,1
132,1782,131,236,9036,24,485,7174,0,2,0,0,0,1,1
133,1867,362,226,15635,17,405,14916,0,0,1,0,0,0,1
134,4253,441,692,21448,55,702,16531,5,1,2,0,0,0,1
135,1317,342,146,7465,12,484,7540,1,1,0,0,0,0,1
136,3122,420,360,11793,24,576,10770,4,6,0,0,1,2,1
137,2036,189,454,13154,104,368,11532,0,0,0,0,0,1,1
138,2495,355,397,11054,62,642,7895,1,1,0,0,1,0,1
139,1787,65,153,3197,14,104,2552,2,1,0,1,0,0,2
140,2041,186,639,7890,81,505,4775,2,1,0,1,0,1,1
141,2364,318,656,11913,100,229,9233,3,2,0,0,0,0,2
142,3532,312,240,21985,49,533,17959,1,1,0,0,0,0,1
143,1563,131,660,10212,86,543,10635,2,2,0,0,0,0,8
144,1296,267,231,7948,23,248,6144,3,8,0,0,0,0,1
145,746,17,80,5417,20,227,6936,3,1,0,0,1,0,1
146,1385,166,369,10026,72,163,10356,3,2,0,0,2,0,1
147,2421,330,627,15396,139,536,15238,1,1,0,0,0,0,1
148,1656,103,231,10046,31,543,12856,5,5,0,1,0,0,1
149,301,23,133,1923,21,64,2700,7,17,0,1,0,0,1
150,4266,450,797,23885,58,1238,19123,9,1,1,1,3,0,1
151,2321,221,264,11260,34,467,7240,1,1,0,0,0,0,7
152,906,55,70,3252,9,160,2422,0,1,0,0,0,0,1
153,2661,338,556,9966,50,640,9971,3,5,0,0,0,1,1
154,3824,161,429,12652,50,525,11691,2,1,0,0,0,0,1
155,2426,622,829,11114,55,210,6238,0,1,0,0,0,1,1
156,1778,96,141,6510,31,173,6118,3,1,0,0,0,0,1
157,4999,366,606,19308,50,1260,16542,0,1,0,0,0,1,2
158,626,74,29,3646,3,188,3142,0,0,1,0,1,0,1
159,3498,1903,531,21190,43,266,17124,1,1,0,0,0,0,1
160,2932,255,1271,20653,173,815,21469,14,3,0,0,3,1,1
161,5974,1202,1360,23697,166,1742,21419,3,2,0,0,0,0,1
162,1252,257,1197,12012,147,492,11295,2,1,0,0,0,1,1
163,951,12,133,5180,22,213,7338,1,2,0,0,1,0,1
164,2732,464,407,12551,41,987,9812,4,3,0,1,5,0,1
165,863,70,106,4133,11,141,5048,4,3,0,0,0,0,1
166,2314,166,322,12452,65,191,9563,0,2,0,0,0,0,1
167,502,159,300,4748,47,73,5137,2,3,0,0,0,0,1
168,2247,187,436,10614,53,484,8946,0,4,0,0,0,0,3
169,1788,155,157,8739,31,242,8668,3,4,0,0,2,1,1
170,1802,243,273,9790,32,329,8137,4,1,0,0,0,0,1
171,1792,183,176,7464,26,168,5780,2,1,0,0,0,0,1
172,815,70,240,4623,41,269,4994,8,4,0,0,0,0,2
173,229,18,82,1906,11,91,1819,3,2,0,0,0,0,2
174,1636,183,454,7154,110,217,7894,3,5,0,0,0,0,1
175,347,34,99,1757,14,86,1785,8,2,0,0,0,0,2
176,421,8,112,1792,21,121,2054,1,1,0,1,0,0,2
177,375,3,101,1497,16,97,1590,2,2,0,0,0,0,2
178,472,44,137,2395,9,108,2166,2,1,0,1,0,0,1
